TIPO,UNIDADE_ESCOLAR,DRE,CODIGO_EOL
EMEF,"ADHEMAR DE BARROS, PREF.",CLI I,93017
EMEF,"ANTONIO ALVES DA SILVA, SG.",CLI I,311
EMEF,CAMPO LIMPO II,CLI I,19434
EMEF,CAMPO LIMPO III,CLI I,19430
EMEF,DONATO SUSUMU KIMURA,CLI I,19526
EMEF,EUCLIDES DA CUNHA,CLI I,92941
EMEF,FAGUNDES VARELLA,CLI I,93092
EMEF,FRANCISCO REBOLO,CLI I,19275
EMEF,GIANFRANCESCO GUARNIERI,CLI I,19348
EMEF,HERBERT DE SOUZA - BETINHO,CLI I,19500
EMEF,"IRACEMA MARQUES DA SILVEIRA, PROFA.",CLI I,92959
EMEF,"JORGE AMERICANO, PROF.",CLI I,92932
EMEF,JOSE OLYMPIO PEREIRA FILHO,CLI I,12939
EMEF,LEONARDO VILLAS BOAS,CLI I,93041
EMEF,"MARIO RANGEL, CEL.",CLI I,92924
EMEF,MODESTO SCAGLIUSI,CLI I,99236
EMEF,PERIMETRAL,CLI I,19466
EMEF,TEREZINHA MOTA DE FIGUEIREDO,CLI I,19247
EMEF,"VEREMUNDO TOTH, DOM",CLI I,19222
EMEF,ZULMIRA CAVALHEIRO FAUSTINO,CLI I,93068
CEU EMEF,CANTOS DO AMANHECER,CLI I,19353
CEU EMEF,FEITICO DA VILA,CLI I,19338
CEU EMEF,HERMES FERREIRA DE SOUZA,CLI I,19308
CEU EMEF,JOSE SARAMAGO,CLI I,19383
CEU EMEF,PARAISOPOLIS,CLI I,19375
EMEI,"ALAIDE BUENO RODRIGUES, PROFA.",CLI I,90221
EMEI,ANISIO TEIXEIRA,CLI I,90158
EMEI,ARACY DE ALMEIDA,CLI I,99058
EMEI,ASSIS CHATEAUBRIAND,CLI I,90212
EMEI,CAMPO LIMPO,CLI I,90263
EMEI,CAMPO LIMPO IV,CLI I,400759
EMEI,CARLOS DE LAET,CLI I,90336
EMEI,CONJ. HABITACIONAL VALO VELHO,CLI I,17281
EMEI,DOLORES DURAN,CLI I,90298
EMEI,"GUIOMAR PICCINALI, PROFA.",CLI I,90328
EMEI,JANETE CLAIR,CLI I,90280
EMEI,LUIZ DA CAMARA CASCUDO,CLI I,90166
EMEI,"MARIO ARY PIRES, MAL.",CLI I,90174
EMEI,MARIO SETTE,CLI I,90182
EMEI,MITSUTANI,CLI I,19211
EMEI,PAULO ZINGG,CLI I,11550
EMEI,PIRAJUSSARA,CLI I,19514
EMEI,"ZULEIKA PEREIRA LEITE, PROFA.",CLI I,97161
CEU EMEI,CANTOS DO AMANHECER,CLI I,19353
CEU EMEI,FEITICO DA VILA,CLI I,19338
CEU EMEI,"LUIZA HELENA FERREIRA, PROFA",CLI I,19307
CEU EMEI,PARAISOPOLIS,CLI I,19375
CEI,"AIRTON PEREIRA DA SILVA, FREI",CLI I,400301
CEI,"CID FRANCO, VER.",CLI I,400026
CEI,JARDIM CATANDUVA,CLI I,400070
CEI,JARDIM MACEDONIA,CLI I,400093
CEI,JARDIM TRES ESTRELAS,CLI I,400141
CEI,JARDIM UMARIZAL,CLI I,400143
CEI,"JOSE OLIVEIRA ALMEIDA DINIZ, VER.",CLI I,400162
CEI,OLGA BENARIO PRESTES,CLI I,9130
CEI,PARQUE FERNANDA,CLI I,400198
CEI,PARQUE REGINA,CLI I,400205
CEI,PAULO COCHRANE SUPLICY,CLI I,400511
CEI,PAULO E ADMAR,CLI I,400215
CEI,VILA PRAIA,CLI I,400257
CEI CEU,CAMPO LIMPO,CLI I,90263
CEI CEU,CANTOS DO AMANHECER,CLI I,19353
CEI CEU,PARAISOPOLIS,CLI I,19375
CIEJA,CAMPO LIMPO,CLI I,90263
CEMEI,IRAPARA,CLI I,19532
CEMEI ,JARDIM DAS PALMAS,CLI I,19649
