ANO,CODESC,TIPOESC,NOMESC,DRE,DIRETORIA,SUBPREF,CEU,ENDERECO,NUMERO,BAIRRO,CEP,TEL1,TEL2,FAX,SITUACAO,CDIST,DISTRITO,SETOR,CODSEE,CODINEP,EH,NOME_ANT,T2D3D,DTURNOS,LATITUDE,LONGITUDE,REDE,DATABASE,TOTCLA,TOTALU,TOTALU_COM_COMPAT
2019,400720,CEI INDIR,PILAR FUENTES ROMEU,PE,PENHA,MOOCA,,RUA JOÃO BIZARRO DA NAVE,241,VILA DIVA ZONA LESTE,03351100,26599823,,,Ativa,01,AGUA RASA,0102,0433159,35433159,,,2D,G,-23571865,-46567223,CON,30/6/2019,12,144,144
2019,308508,CR.P.CONV,CANTINHO DA VOVO HELENA,PE,PENHA,MOOCA,,RUA MIRANDA JORDÃO,488,CHÁCARA MAFALDA,03372010,27691555,,,Ativa,01,AGUA RASA,0102,0580855,35580855,,,2D,G,-23570252,-46554750,CON,30/6/2019,10,130,130
2019,099082,EMEI,"JOSE ALOYSIO RODRIGUES CORREA, PROF.",PE,PENHA,MOOCA,,RUA MALAGA,391,PARQUE SEVILHA,03157030,20283761,,29656477,Ativa,01,AGUA RASA,0103,0094766,35094766,162900000540000,PARQUE SEVILHA,2D,MT,-23576341,-46570194,DIR,30/6/2019,6,182,185
2019,095087,EMEF,"SILVIO FLEMING, MJ.",PE,PENHA,MOOCA,,RUA PAULO DE LIMA CORREA,65,VILA LIBANESA,03193060,29653052,,29651943,Ativa,01,AGUA RASA,0101,0055050,35055050,162900000570000,1 E 2 ESCOLAS MISTAS DE VILA BERTIOGA,2D,MT,-23573342,-46577419,DIR,30/6/2019,23,664,664
2019,095095,EMEF,EMILIANO DI CAVALCANTI,PE,PENHA,MOOCA,,RUA ALMIRANTE ALEXANDRINO,541,VILA INVERNADA,03350010,20283756,29667839,,Ativa,01,AGUA RASA,0102,0053028,35053028,162900000510000,"1,2,3 E 4 ESCOLAS MISTAS DE VILA DIVA",2D,TG,-23570124,-46568250,DIR,30/6/2019,17,349,351
2019,095109,EMEF,LEONOR MENDES DE BARROS,PE,PENHA,MOOCA,,RUA RAIMUNDO CORREIA,5,VILA DIVA ZONA LESTE,03351050,20283765,29657517,,Ativa,01,AGUA RASA,0102,0053036,35053036,162900000530000,ESCOLA MASCULINA DE VILA INVERNADA,2D,MT,-23571268,-46564172,DIR,30/6/2019,17,449,458
2019,095362,EMEF,"MAUA, BR. DE",PE,PENHA,MOOCA,,RUA MADRID,550,PARQUE SEVILHA,03157010,29650431,20283737,,Ativa,01,AGUA RASA,0103,0055062,35055062,162900000550000,2. ESCOLA MISTA DO PARQUE SEVILHA,2D,MTN,-23575923,-46570104,DIR,30/6/2019,21,534,534
2019,092053,EMEI,ALUISIO DE AZEVEDO,PE,PENHA,MOOCA,,RUA FAROL PAULISTANO,250,VILA ORATÓRIO,03192060,20283768,29653891,,Ativa,01,AGUA RASA,0101,0052723,35052723,162900000500000,VILA ORATORIO - PI 62,2D,MT,-23571846,-46575657,DIR,30/6/2019,8,278,278
2019,092061,EMEI,CORNELIO PIRES,PE,PENHA,MOOCA,,PRACA MANOEL DE MESQUITA,15,VILA INVERNADA,03350040,29650372,,20283688,Ativa,01,AGUA RASA,0102,0085510,35085510,162900000520000,VILA DIVA,2D,G,-23570186,-46568298,DIR,30/6/2019,4,112,112
2019,092070,EMEI,"MARIO ALVES DE CARVALHO, DR.",PE,PENHA,MOOCA,,RUA PARQUE D PEDRO I,S/N,VILA INVERNADA,03351125,26712684,,26710067,Ativa,01,AGUA RASA,0102,0052036,35052036,162900000560000,,2D,MT,-23570098,-46564050,DIR,30/6/2019,8,252,252
2019,306343,CR.P.CONV,FRATERNIDADE IRMA AMELIA,PE,PENHA,MOOCA,,RUA NHENGAIBAS,356,VILA GRACIOSA,03160040,29653547,,,Ativa,01,AGUA RASA,0103,0181304,35181304,,"IRMA AMELIA, FRATERNIDADE",2D,G,-23578729,-46565576,CON,30/6/2019,9,108,109
2019,306344,CR.P.CONV,"CHIQUINHA, IRMA",PE,PENHA,MOOCA,,RUA PROFESSOR RAUL BRIQUET,220,VILA LIBANESA,03193040,29659575,,,Ativa,01,AGUA RASA,0101,0182312,35182312,,IRMA CHIQUINHA,2D,G,-23572931,-46578155,CON,30/6/2019,12,147,147
2019,306348,CR.P.CONV,MARIA APARECIDA SICA MAE DOCA - UN I,PE,PENHA,MOOCA,,RUA NOSSA SENHORA DOS ANJOS,717,CHACARA MAFALDA,03370055,26741348,26749211,26748900,Ativa,01,AGUA RASA,0102,0182321,35182321,,,2D,G,-23567493,-46556372,CON,30/6/2019,13,166,166
2019,306353,CR.P.CONV,TERNURINHA,PE,PENHA,MOOCA,,RUA ANÁLIA FRANCO,238,VILA REGENTE FEIJÓ,03344040,21580836,,,Ativa,01,AGUA RASA,0102,0182308,35182308,,NOSSO LAR I,2D,G,-23558749,-46573134,CON,30/6/2019,11,99,99
2019,306354,CR.P.CONV,"JOSE, PE",PE,PENHA,MOOCA,,RUA JOAO SOARES,7,QUARTA PARADA,03175070,26053227,,,Ativa,01,AGUA RASA,0101,0182291,35182291,,,2D,G,-23553782,-46579040,CON,30/6/2019,5,60,60
2019,306502,CR.P.CONV,SONHO DE CRIANCA,PE,PENHA,MOOCA,,RUA BOM JESUS,620,VILA REGENTE FEIJÓ,03344000,21579747,,,Ativa,01,AGUA RASA,0102,0806961,35806961,,NOSSO LAR II,2D,G,-23562481,-46571809,CON,30/6/2019,5,80,80
2019,307996,CR.P.CONV,VILA DIVA,PE,PENHA,MOOCA,,RUA MIRANDA JORDÃO,482,CHÁCARA MAFALDA,03372010,29353927,,,Ativa,01,AGUA RASA,0102,0497162,35497162,,,2D,G,-23570362,-46554876,CON,30/6/2019,11,131,131
2019,308093,CR.P.CONV,MARINHO DE ASSIS TOLEDO,PE,PENHA,MOOCA,,RUA OURINHOS,306,VILA BERTIOGA,03186040,25012236,,,Ativa,01,AGUA RASA,0101,0565234,35565234,,,2D,G,-23566509,-46579473,CON,30/6/2019,6,76,76
2019,306191,CR.P.CONV,CASA DA PEQUENA IVETE,BT,BUTANTA,PINHEIROS,,RUA INHATIUM,152,ALTO DE PINHEIROS,05468160,30223059,,,Ativa,02,ALTO DE PINHEIROS,0201,0180610,35180610,,,2D,G,-23537977,-46712948,CON,30/6/2019,5,66,66
2019,306194,CR.P.CONV,FRATERNIDADE MARIA DE NAZARE,BT,BUTANTA,PINHEIROS,,RUA SAO MACARIO,107,VILA MADALENA,05443040,30326510,,,Ativa,02,ALTO DE PINHEIROS,0202,0180634,35180634,,,2D,G,-23553396,-46697116,CON,30/6/2019,7,68,68
2019,400306,CEI INDIR,MAE DO SALVADOR,BT,BUTANTA,PINHEIROS,,RUA DOS MACUNIS,738,VILA MADALENA,05444001,38128431,,,Ativa,02,ALTO DE PINHEIROS,0202,0180269,35180269,,,2D,G,-23555199,-46700402,CON,30/6/2019,16,173,174
2019,400307,CEI INDIR,MARIA DE LOURDES FERRARINI,BT,BUTANTA,PINHEIROS,,RUA DOUTOR ALBERTO SEABRA,1127,VILA MADALENA,05452001,30215361,,,Ativa,02,ALTO DE PINHEIROS,0202,0180270,35180270,,MAE QUERIDA,2D,G,-23541682,-46706247,CON,30/6/2019,10,101,101
2019,400308,CEI INDIR,PARQUE ANHANGUERA,PJ,PIRITUBA,PERUS,,RUA DIONISIO BELLANTE,419,JARDIM SANTA FE,05271150,39119000,,,Ativa,03,ANHANGUERA,0308,0182850,35182850,,,2D,G,-23431971,-46794435,CON,30/6/2019,14,140,140
