Ordem,EOL,TIPO DE U.E,NOME,DRE,SIGLA/LOTE,E-MAIL,ENDEREÇO,Nº,BAIRRO,endereco_completo,CEP,TELEFONE,TELEFONE2,EMPRESA,COD. CODAE,TIPO_UE2
1,108,EMEF,"JOSE ERMIRIO DE MORAIS, SEN.",SÃO MIGUEL,MP I,emefjemoraes@prefeitura.sp.gov.br,RUA SÃO BRAS DO SUAÇUI,159,JARDIM LUCE/ SÃO MIGUEL PTA,"RUA SÃO BRAS DO SUAÇUI, 159 - JARDIM LUCE/ SÃO MIGUEL PTA",08090-290,2581-1484,2586-5294,Singular Gestão de Serviços Ltda,7025,EMEF
2,272,EMEF,CLOVIS GRACIANO,FREGUÊSIA / BRASILÂNDIA,FO,emefcgraciano@prefeitura.sp.gov.br,RUA MENDONÇA JUNIOR,60,VILA DOS ANDRADAS,"RUA MENDONÇA JUNIOR , 60 - VILA DOS ANDRADAS",02610-010,3981-2864,3981-2864,SHA Comércio de Alimentos Ltda,7088,EMEF
3,299,EMEF,"ROBERTO PATRICIO, PROF.",FREGUÊSIA / BRASILÂNDIA,FO,emefrpatricio@prefeitura.sp.gov.br,RUA ANTONIO DOMINGUES FREITAS,147,VILA AMELIA,"RUA ANTONIO DOMINGUES FREITAS, 147 - VILA AMELIA",2615020,22586078,,SHA Comércio de Alimentos Ltda,7087,EMEF
4,302,EMEF,"HELIO FRANCO CHAVES, CEL.",JAÇANÃ / TREMEMBÉ,JT,EMEFHFCHAVES@PREFEITURA.SP.GOV.BR,RUA KOTINDA,1343,JARDIM CORISCO,"RUA KOTINDA, 1343 - JARDIM CORISCO",2365010,29952513,29927707,SHA Comércio de Alimentos Ltda,7127,EMEF
5,329,EMEBS,"NEUSA BASSETTO, PROFA.",PENHA,PE II,emebsneusabassetto@prefeitura.sp.gov.br,RUA TAQUARI,459,MOOCA,"RUA TAQUARI, 459 - MOOCA",3166000,26946923,,Apetece Sistemas de Alimentação Ltda,6826,EMEF
6,337,EMEBS,LUCIE BRAY - MD.,JAÇANÃ / TREMEMBÉ,JT,emebslbray@prefeitura.sp.gov.br,RUA SÃO GERALDINO,236,VILA CONSTANCA,"RUA SÃO GERALDINO, 236 - VILA CONSTANCA",2258220,22405315,22401005,SHA Comércio de Alimentos Ltda,8432,EMEF
7,485,EMEF,ASSAD ABDALA,PENHA,PE II,EMEFAABDALA@PREFEITURA.SP.GOV.BR,AVENIDA MENDONCA DRUMOND,902,JARDIM MARINGÁ,"AVENIDA MENDONCA DRUMOND, 902 - JARDIM MARINGÁ",3524030,27811729,27812502,Apetece Sistemas de Alimentação Ltda,12019,EMEF
8,892,EMEF,HENRIQUE SOUZA FILHO - HENFIL,SÃO MATEUS,SM I,emefhenfil@prefeitura.sp.gov.br,RUA ÉRICO SEMER,S/N,JARDIM MARILU,"RUA ÉRICO SEMER, S/N - JARDIM MARILU",8371400,27312097,27313204,SHA Comércio de Alimentos Ltda,11336,EMEF
9,8834,EMEF,"IDEMIA DE GODOY, PROFA.",GUAIANASES,G,emefidemia@prefeitura.sp.gov.br,RUA ANDES,807,GUAIANAZES,"RUA ANDES, 807 - GUAIANAZES",8440180,25544580,25571945,Apetece Sistemas de Alimentação Ltda,6985,EMEF
10,8842,EMEF,"SEBASTIAO FRANCISCO, O NEGRO",ITAQUERA,IQ,emefsebastiaof@prefeitura.sp.gov.br,RUA ONOFRE JORGE VELHO,260,CIDADE LIDER,"RUA ONOFRE JORGE VELHO, 260 - CIDADE LIDER",8280330,27493651,27481131,Apetece Sistemas de Alimentação Ltda,6986,EMEF
