Ordem,EOL,TIPO DE U.E,NOME,DRE,SIGLA/LOTE,E-MAIL,ENDEREÇO,Nº,BAIRRO,,CEP,TELEFONE,TELEFONE2,EMPRESA,COD. CODAE
1,86,EMEI,PAULO CAMILHIER FLORENÇANO,GUAIANASES,G,emeipcflorencano@prefeitura.sp.gov.br,RUA FELICIANO MENDONÇA,502,JARDIM SÃO PAULO,"RUA FELICIANO MENDONÇA, 502 - JARDIM SÃO PAULO",08461-120,25578348,2557-1947,Apetece Sistemas de Alimentação Ltda,6660
2,94,EMEI,VICENTE PAULO DA SILVA,FREGUÊSIA / BRASILÂNDIA,FO,emeivipsilva@prefeitura.sp.gov.br,RUA DR. FLEURY SILVEIRA,295,VILA SANTA MARIA,"RUA DR. FLEURY SILVEIRA, 295 - VILA SANTA MARIA",02563-010,39813227,3981-3227,SHA Comércio de Alimentos Ltda,6739
3,221,EMEI,NAIR CORREA BUARQUE,FREGUÊSIA / BRASILÂNDIA,FO,emeincbuarque@prefeitura.sp.gov.br,RUA SANTA ANGELA,51,VILA PALMEIRAS,"RUA SANTA ANGELA, 51 - VILA PALMEIRAS",02727-000,39316339,3932-9355,SHA Comércio de Alimentos Ltda,6722
4,230,EMEI,MARIA YOLANDA DE SOUZA PINTO HAHNE,JAÇANÃ / TREMEMBÉ,JT,emeimyspahne@prefeitura.sp.gov.br,RUA GASTÃO MADEIRA,S/N,VILA MARIA ALTA,"RUA GASTÃO MADEIRA, S/N - VILA MARIA ALTA",02131-080,2955-9902,2955-9902,SHA Comércio de Alimentos Ltda,6793
5,248,EMEI,"WALFRIDO DE CARVALHO, CEL.",JAÇANÃ / TREMEMBÉ,JT,emeiwcarvalho@prefeitura.sp.gov.br,RUA VICENTE QUEIROL,200,JARDIM MARTINS SILVA,"RUA VICENTE QUEIROL , 200 - JARDIM MARTINS SILVA",02323-040,29954062,2995-4062,SHA Comércio de Alimentos Ltda,6779
6,426,EMEI,"CELIA CAMARGO PENTEADO ELIAS, PROFA.",SÃO MATEUS,SM I,emeiccpelias@prefeitura.sp.gov.br,RUA JOSE VIEIRA DO RIO,257,PARQUE SÃO RAFAEL,"RUA JOSE VIEIRA DO RIO, 257 - PARQUE SÃO RAFAEL",08320-120,20196061,,SHA Comércio de Alimentos Ltda,11329
7,442,EMEI,"ANTONIO RUBBO MULLER, PROF.",IPIRANGA,IP I,emeiarmuller@prefeitura.sp.gov.br,RUA CARMINHA,123,PARQUE SÃO LUCAS,"RUA CARMINHA, 123 - PARQUE SÃO LUCAS",03240-040,29187032,6104-1127,Singular Gestão de Serviços Ltda,6853
8,493,EMEI,AURELIO BUARQUE DE HOLANDA FERREIRA,CAPELA DO SOCORRO,CS,emeiabhferreira@prefeitura.sp.gov.br,RUA DR. ARMANDO FAJARDO,400,JARDIM SÃO BERNARDO,"RUA DR. ARMANDO FAJARDO, 400 - JARDIM SÃO BERNARDO",04844-590,59287612,5928-7612,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,6593
9,531,EMEI,MARIA EUGENIA FAKHOURY,CAPELA DO SOCORRO,CS,emeimefakhoury@prefeitura.sp.gov.br,RUA CONSTELAÇÃO DO ERIDANO,200,JARDIM CAMPINAS,"RUA CONSTELAÇÃO DO ERIDANO, 200 - JARDIM CAMPINAS",04858-580,55263674,,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,6592
10,558,EMEI,SENA MADUREIRA,IPIRANGA,IP I,emeismadureira@prefeitura.sp.gov.br,RUA LOEFGREEN,1963,VILA CLEMENTINO,"RUA LOEFGREEN, 1963 - VILA CLEMENTINO",04040-033,50844154,5571-8228,Singular Gestão de Serviços Ltda,6839
11,9130,EMEI,OLGA BENARIO PRESTES,GUAIANASES,G,emeiobprestes@prefeitura.sp.gov.br,RUA IGARAPÉ DA FORTUNA,195,INÁCIO MONTEIRO,"RUA IGARAPÉ DA FORTUNA, 195 - INÁCIO MONTEIRO",08472-400,25552615,2555-4188,Apetece Sistemas de Alimentação Ltda,6661
12,9270,EMEI,DINA KUTNER DE SOUZA - DINA SFAT,JAÇANÃ / TREMEMBÉ,JT,emeidksouza@prefeitura.sp.gov.br,RUA MANUEL ARAUJO ARAGÃO,317,JARDIM SANTO ALBERTO,"RUA MANUEL ARAUJO ARAGÃO, 317 - JARDIM SANTO ALBERTO",02356-170,22035927,2204-4883,SHA Comércio de Alimentos Ltda,6781
